ds,y
2020-01-01,73.40108766907386
2020-01-02,78.85815811553444
2020-01-03,70.07783152105131
2020-01-04,108.66377242859218
2020-01-05,106.5161355165703
2020-01-06,90.34507771369866
2020-01-07,81.78903113768521
2020-01-08,87.47858076168707
2020-01-09,94.44865140009111
2020-01-10,80.95619174571588
2020-01-11,109.7566602806739
2020-01-12,114.88021126527386
2020-01-13,82.67667878682101
2020-01-14,90.59356123220486
2020-01-15,84.43353150405783
2020-01-16,79.55327573645421
2020-01-17,83.74118296595441
2020-01-18,121.4096400822966
2020-01-19,127.40615234220212
2020-01-20,82.55478808002188
2020-01-21,78.74350595314577
2020-01-22,75.85560009200057
2020-01-23,81.97421207200686
2020-01-24,104.4610504468703
2020-01-25,106.98546782203678
2020-01-26,124.09847923782897
2020-01-27,87.50603291343165
2020-01-28,84.94269742684781
2020-01-29,88.06942681932331
2020-01-30,86.33995118198048
2020-01-31,98.57136305137959
2020-02-01,141.61447674444787
2020-02-02,152.7972811625166
2020-02-03,125.66411040700268
2020-02-04,128.38602594642197
2020-02-05,113.68432973287042
2020-02-06,125.5153717168373
2020-02-07,108.51626474605312
2020-02-08,148.1424768595842
2020-02-09,183.8632167200966
2020-02-10,129.85212873415003
2020-02-11,127.35066968621356
2020-02-12,117.97498097378563
2020-02-13,136.30580193728503
2020-02-14,121.27815442920189
2020-02-15,132.1417524086167
2020-02-16,149.25601562120963
2020-02-17,134.14912488091633
2020-02-18,112.91554116570468
2020-02-19,109.3458939115682
2020-02-20,130.1823515589305
2020-02-21,122.32608822163384
2020-02-22,174.7264025904817
2020-02-23,166.31366397643075
2020-02-24,136.65200311538354
2020-02-25,135.81728532781221
2020-02-26,133.29993007093313
2020-02-27,121.38706592150768
2020-02-28,123.46340624514141
2020-02-29,153.95932704637923
2020-03-01,168.43291163563225
2020-03-02,143.49752049486068
2020-03-03,120.5783989334687
2020-03-04,137.53269482278333
2020-03-05,143.9845682200214
2020-03-06,135.4481170115827
2020-03-07,180.30946127058886
2020-03-08,170.73703006179852
2020-03-09,145.29966109183775
2020-03-10,131.18566873442907
2020-03-11,135.43517220539223
2020-03-12,113.65305574449849
2020-03-13,121.58816331174307
2020-03-14,195.17380128238904
2020-03-15,183.48885661787747
2020-03-16,142.58110037817525
2020-03-17,125.7772417040746
2020-03-18,137.71379245196042
2020-03-19,150.557408119924
2020-03-20,130.0993596041735
2020-03-21,175.6020815640027
2020-03-22,199.26072630188366
2020-03-23,132.34873744612034
2020-03-24,138.32293596359517
2020-03-25,142.5864809021603
2020-03-26,139.89571024789123
2020-03-27,159.76371748056374
2020-03-28,189.49525705939485
2020-03-29,193.54445671263863
2020-03-30,136.12925972825147
2020-03-31,137.04851277924212
2020-04-01,152.50973515942948
2020-04-02,149.41700613333003
2020-04-03,157.1662583711579
2020-04-04,187.24370060463662
2020-04-05,182.33171129736684
2020-04-06,133.5107506882575
2020-04-07,167.28682706008524
2020-04-08,157.45528606430494
2020-04-09,164.46722128381654
2020-04-10,145.04279980889694
2020-04-11,205.85996420519356
2020-04-12,200.4670248439868
2020-04-13,151.51370463481325
2020-04-14,163.67140584170426
2020-04-15,159.43014449253667
2020-04-16,162.98187042019381
2020-04-17,161.12876687768397
2020-04-18,220.97246886291828
2020-04-19,200.16236527547994
2020-04-20,152.41171878977025
2020-04-21,145.64508130511274
2020-04-22,165.84597037819222
2020-04-23,145.8351658704895
2020-04-24,139.9395779480675
2020-04-25,205.99527108223856
2020-04-26,214.10043290815435
2020-04-27,159.46190044655899
2020-04-28,160.05904862846617
2020-04-29,169.69880818402194
2020-04-30,175.3168171846668
2020-05-01,187.92414294049232
2020-05-02,215.25625584071906
2020-05-03,216.44017974002418
2020-05-04,196.81869496992175
2020-05-05,176.7980211665572
2020-05-06,144.51342308242133
2020-05-07,163.28837039121228
2020-05-08,159.37827657117026
2020-05-09,216.04173553939435
2020-05-10,208.56890958219563
2020-05-11,152.94407082000964
2020-05-12,171.15769576440988
2020-05-13,162.08755411162852
2020-05-14,169.40721576030137
2020-05-15,161.67576590576866
2020-05-16,215.77396423061063
2020-05-17,214.50949073262285
2020-05-18,169.69059555193328
2020-05-19,167.49719591301573
2020-05-20,159.9264802065175
2020-05-21,157.19696952869222
2020-05-22,174.27130055488155
2020-05-23,225.6853387881388
2020-05-24,203.76832057686016
2020-05-25,165.97288820130805
2020-05-26,176.17065745401302
2020-05-27,185.34039217055044
2020-05-28,192.59940411318317
2020-05-29,174.18330701054145
2020-05-30,220.37930380224543
2020-05-31,235.26467874358545
2020-06-01,187.91789637929747
2020-06-02,192.5813809101237
2020-06-03,175.5956809507909
2020-06-04,175.95530797695073
2020-06-05,177.67432958674075
2020-06-06,245.05790381288907
2020-06-07,220.92419496832866
2020-06-08,181.6262619539628
2020-06-09,170.3445550412862
2020-06-10,182.71796685080042
2020-06-11,181.39693844723374
2020-06-12,182.95269342599153
2020-06-13,229.43081841930518
2020-06-14,211.3912791586102
2020-06-15,190.1888203412412
2020-06-16,173.91019287199498
2020-06-17,189.6297968324354
2020-06-18,182.35505163778808
2020-06-19,168.69938973971074
2020-06-20,243.69352824496593
2020-06-21,238.86182388579329
2020-06-22,192.7601013772294
2020-06-23,203.68396374985042
2020-06-24,187.60309836505354
2020-06-25,189.16617512595587
2020-06-26,204.440595306565
2020-06-27,250.45900588710197
2020-06-28,227.40748209652466
2020-06-29,198.6269027036318
2020-06-30,177.44983743971665
2020-07-01,191.2993645967171
2020-07-02,186.2619143565104
2020-07-03,175.22256882697476
2020-07-04,261.04427504905146
2020-07-05,238.59846182070032
2020-07-06,204.7001409432151
2020-07-07,194.78402232092998
2020-07-08,191.75717311801964
2020-07-09,178.429828524272
2020-07-10,203.20583969892348
2020-07-11,241.81741567392075
2020-07-12,255.21619057564365
2020-07-13,191.70447454687562
2020-07-14,200.7561099662543
2020-07-15,187.5967852418776
2020-07-16,201.1656609120377
2020-07-17,199.4058424266833
2020-07-18,238.73497221522683
2020-07-19,248.6835105867255
2020-07-20,195.7016972450323
2020-07-21,204.07973611075388
2020-07-22,201.20236520538913
